season,matchday,hometeam,awayteam,homegoals,awaygoals
1963,1,1860 München,Braunschweig,1,1
1963,1,Münster,Hamburger SV,1,1
1963,1,Saarbrücken,Köln,0,2
1963,1,Karlsruhe,Duisburg,1,4
1963,1,Frankfurt,K'lautern,1,1
1963,1,Schalke,Stuttgart,2,0
1963,1,Hertha,Nürnberg,1,1
1963,1,Bremen,Dortmund,3,2
1963,2,Braunschweig,Münster,1,0
1963,2,Hamburger SV,Saarbrücken,4,2
1963,2,Köln,Karlsruhe,4,0
1963,2,Duisburg,Frankfurt,3,1
1963,2,K'lautern,Schalke,2,3
1963,2,Stuttgart,Hertha,2,0
1963,2,Nürnberg,Bremen,3,0
1963,2,Dortmund,1860 München,3,3
1963,3,1860 München,Köln,1,3
1963,3,Münster,Duisburg,4,2
1963,3,Saarbrücken,Braunschweig,2,2
1963,3,Karlsruhe,Hamburger SV,0,4
1963,3,Frankfurt,Nürnberg,2,3
1963,3,Schalke,Dortmund,3,1
1963,3,Hertha,K'lautern,2,2
1963,3,Bremen,Stuttgart,2,2
1963,4,Braunschweig,Karlsruhe,2,0
1963,4,Hamburger SV,Frankfurt,3,0
1963,4,Köln,Schalke,2,2
1963,4,Duisburg,Hertha,1,3
1963,4,K'lautern,Bremen,3,0
1963,4,Stuttgart,1860 München,1,1
1963,4,Nürnberg,Münster,2,2
1963,4,Dortmund,Saarbrücken,2,1
1963,5,1860 München,K'lautern,3,0
1963,5,Münster,Stuttgart,4,2
1963,5,Saarbrücken,Nürnberg,3,5
1963,5,Karlsruhe,Dortmund,1,3
1963,5,Frankfurt,Braunschweig,3,0
1963,5,Schalke,Hamburger SV,1,0
1963,5,Hertha,Köln,0,3
1963,5,Bremen,Duisburg,1,1
1963,6,Köln,Bremen,4,3
1963,6,Duisburg,1860 München,3,0
1963,6,K'lautern,Münster,0,0
1963,6,Stuttgart,Saarbrücken,3,1
1963,6,Nürnberg,Karlsruhe,2,4
1963,6,Hamburger SV,Hertha,5,1
1963,6,Braunschweig,Schalke,4,3
1963,6,Dortmund,Frankfurt,3,0
1963,7,1860 München,Nürnberg,5,0
1963,7,Saarbrücken,K'lautern,2,4
1963,7,Karlsruhe,Stuttgart,0,3
1963,7,Schalke,Duisburg,2,2
1963,7,Frankfurt,Köln,2,1
1963,7,Hertha,Braunschweig,1,2
1963,7,Bremen,Hamburger SV,4,2
1963,7,Münster,Dortmund,1,2
1963,8,Braunschweig,Bremen,1,1
1963,8,Hamburger SV,1860 München,5,0
1963,8,Köln,Münster,3,0
1963,8,Duisburg,Saarbrücken,3,1
1963,8,K'lautern,Karlsruhe,1,0
1963,8,Stuttgart,Frankfurt,0,0
1963,8,Nürnberg,Schalke,0,2
1963,8,Dortmund,Hertha,7,2
1963,9,Hamburger SV,Braunschweig,2,1
1963,9,Köln,Duisburg,3,3
1963,9,Stuttgart,Dortmund,2,1
1963,9,Nürnberg,K'lautern,0,5
1963,9,Münster,1860 München,0,0
1963,9,Saarbrücken,Karlsruhe,1,3
1963,9,Schalke,Bremen,2,3
1963,9,Hertha,Frankfurt,1,3
1963,10,Braunschweig,Köln,1,1
1963,10,Duisburg,Hamburger SV,4,0
1963,10,K'lautern,Stuttgart,1,3
1963,10,Karlsruhe,Münster,4,2
1963,10,1860 München,Saarbrücken,7,1
1963,10,Frankfurt,Schalke,4,2
1963,10,Bremen,Hertha,2,2
1963,10,Dortmund,Nürnberg,3,1
1963,11,Braunschweig,Duisburg,0,0
1963,11,Köln,Hamburger SV,4,1
1963,11,Stuttgart,Nürnberg,1,0
1963,11,Saarbrücken,Münster,1,1
1963,11,1860 München,Karlsruhe,1,0
1963,11,Bremen,Frankfurt,4,1
1963,11,Dortmund,K'lautern,9,3
1963,11,Schalke,Hertha,1,0
1963,12,K'lautern,Braunschweig,2,1
1963,12,Hamburger SV,Stuttgart,1,1
1963,12,Duisburg,Dortmund,3,3
1963,12,Nürnberg,Köln,2,2
1963,12,Karlsruhe,Bremen,1,1
1963,12,Hertha,Saarbrücken,3,2
1963,12,Münster,Schalke,2,2
1963,12,Frankfurt,1860 München,5,2
1963,13,K'lautern,Hamburger SV,3,2
1963,13,Nürnberg,Duisburg,2,0
1963,13,Hertha,Karlsruhe,2,3
1963,13,Stuttgart,Braunschweig,5,0
1963,13,Frankfurt,Münster,3,0
1963,13,Bremen,Saarbrücken,0,3
1963,13,Schalke,1860 München,2,1
1963,13,Dortmund,Köln,2,3
1963,14,Duisburg,Stuttgart,3,0
1963,14,Münster,Bremen,1,3
1963,14,Karlsruhe,Schalke,1,1
1963,14,1860 München,Hertha,1,2
1963,14,Saarbrücken,Frankfurt,0,4
1963,14,Braunschweig,Nürnberg,2,0
1963,14,Köln,K'lautern,5,1
1963,14,Hamburger SV,Dortmund,2,1
1963,15,K'lautern,Duisburg,1,1
1963,15,Nürnberg,Hamburger SV,3,2
1963,15,Frankfurt,Karlsruhe,0,3
1963,15,Bremen,1860 München,4,1
1963,15,Schalke,Saarbrücken,4,1
1963,15,Stuttgart,Köln,0,1
1963,15,Hertha,Münster,2,0
1963,15,Dortmund,Braunschweig,3,0
1963,16,Hamburger SV,Münster,5,0
1963,16,Köln,Saarbrücken,1,3
1963,16,Duisburg,Karlsruhe,2,0
1963,16,K'lautern,Frankfurt,1,1
1963,16,Nürnberg,Hertha,2,3
1963,16,Dortmund,Bremen,4,3
1963,16,Braunschweig,1860 München,0,1
1963,16,Stuttgart,Schalke,2,0
1963,17,Münster,Braunschweig,0,2
1963,17,Karlsruhe,Köln,2,2
1963,17,Schalke,K'lautern,4,0
1963,17,Hertha,Stuttgart,0,2
1963,17,1860 München,Dortmund,6,1
1963,17,Bremen,Nürnberg,2,1
1963,17,Saarbrücken,Hamburger SV,1,1
1963,17,Frankfurt,Duisburg,2,2
1963,18,Köln,1860 München,2,2
